Trajectories
100
,,1.1:11,,,1.1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,104.196,309.201,878.11,34.9446,345.125,863.19
2,0,104.179,309.214,878.081,34.9575,345.15,863.213
3,0,104.166,309.186,878.071,34.9604,345.12,863.177
4,0,104.185,309.157,878.063,34.9575,345.118,863.164
5,0,104.184,309.124,878.079,34.9811,345.128,863.211
6,0,104.191,309.124,878.093,35.0045,345.17,863.239
7,0,104.191,309.122,878.102,35.0115,345.182,863.261
8,0,104.209,309.104,878.086,35.0282,345.233,863.273
9,0,104.206,309.087,878.079,35.0497,345.286,863.304
10,0,104.224,309.107,878.091,35.0836,345.288,863.288
11,0,104.252,309.135,878.08,35.099,345.316,863.281
12,0,104.225,309.126,878.066,35.0902,345.397,863.316
13,0,104.228,309.14,878.062,35.1047,345.415,863.295
14,0,104.224,309.131,878.064,35.1117,345.483,863.336
15,0,104.222,309.183,878.073,35.0846,345.523,863.348
16,0,104.197,309.171,878.075,35.0793,345.507,863.311
17,0,104.189,309.225,878.08,35.0635,345.518,863.299
18,0,104.165,309.223,878.066,35.0381,345.564,863.316
19,0,104.152,309.234,878.056,35.0255,345.57,863.31
20,0,104.128,309.243,878.081,35.0143,345.606,863.321
21,0,104.135,309.211,878.06,35.0158,345.579,863.289
22,0,104.132,309.222,878.068,35.0012,345.578,863.29
23,0,104.116,309.213,878.063,35.0122,345.558,863.26
24,0,104.141,309.227,878.077,35.0275,345.611,863.301
25,0,104.141,309.167,878.059,35.0281,345.566,863.29
26,0,104.159,309.203,878.081,35.0295,345.592,863.322
27,0,104.145,309.169,878.056,35.0479,345.581,863.278
28,0,104.154,309.19,878.038,35.0428,345.587,863.276
29,0,104.147,309.216,878.016,35.048,345.61,863.262
30,0,104.151,309.233,878.025,35.0381,345.643,863.241
31,0,104.153,309.269,878.024,35.04,345.639,863.213
32,0,104.141,309.266,877.989,35.0304,345.689,863.211
33,0,104.14,309.32,878,35.0185,345.686,863.198
34,0,104.13,309.361,878.039,35.0117,345.652,863.16
35,0,104.121,309.353,878.01,35.0189,345.707,863.19
36,0,104.125,309.336,878.024,35.0066,345.697,863.178
37,0,104.121,309.321,878.018,35.0065,345.697,863.183
38,0,104.107,309.335,878.031,34.9964,345.705,863.215
39,0,104.109,309.31,878.016,34.9996,345.726,863.227
40,0,104.118,309.338,878.034,35.0007,345.684,863.194
41,0,104.113,309.335,878.018,35.0085,345.668,863.169
42,0,104.129,309.352,878.02,35.0407,345.714,863.166
43,0,104.119,309.319,877.997,35.0369,345.72,863.167
44,0,104.137,309.319,878.015,35.0392,345.739,863.18
45,0,104.134,309.334,878.024,35.0465,345.728,863.191
46,0,104.147,309.306,878.02,35.0383,345.721,863.183
47,0,104.159,309.318,878.022,35.0442,345.724,863.185
48,0,104.136,309.326,878.018,35.0397,345.725,863.172
49,0,104.122,309.34,878.008,35.0217,345.791,863.181
50,0,104.112,309.348,878.017,35.0238,345.754,863.119
51,0,104.1,309.332,877.97,35.02,345.794,863.123
52,0,104.112,309.327,877.959,35.0262,345.848,863.148
53,0,104.095,309.366,877.968,35.0187,345.836,863.128
54,0,104.109,309.359,877.968,35.0073,345.804,863.096
55,0,104.102,309.376,877.998,34.9934,345.841,863.133
56,0,104.091,309.367,878,35.0072,345.822,863.117
57,0,104.092,309.326,877.984,34.9818,345.867,863.166
58,0,104.09,309.351,878.003,34.997,345.848,863.146
59,0,104.077,309.337,878.008,34.9964,345.79,863.108
60,0,104.082,309.31,877.986,35.0101,345.797,863.104
61,0,104.089,309.333,877.995,34.9945,345.875,863.135
62,0,104.084,309.321,877.971,35.0112,345.846,863.089
63,0,104.079,309.363,877.999,35.0155,345.888,863.118
64,0,104.09,309.379,878.003,35.0045,345.855,863.061
65,0,104.08,309.387,877.994,35.0029,345.886,863.062
66,0,104.064,309.416,877.988,35.0025,345.902,863.048
67,0,104.066,309.409,877.985,34.9774,345.922,863.055
68,0,104.065,309.448,878.009,34.9798,345.922,863.028
69,0,104.052,309.461,878.004,34.9715,345.946,863.007
70,0,104.024,309.457,877.994,34.9583,345.979,863.009
71,0,104.02,309.485,877.99,34.9583,346.034,863.015
72,0,104.007,309.475,877.974,34.9728,346.047,862.986
73,0,104.009,309.5,877.977,34.9449,346.051,862.958
74,0,104.02,309.503,877.982,34.9361,346.023,862.92
75,0,104.014,309.479,877.968,34.9505,346.059,862.942
76,0,104.012,309.482,877.968,34.9564,345.996,862.911
77,0,104.026,309.478,877.963,34.978,346.037,862.939
78,0,104.028,309.491,877.98,34.9796,345.997,862.884
79,0,104.025,309.51,877.975,34.9695,346.028,862.915
80,0,104.02,309.514,877.97,34.9713,346.05,862.916
81,0,104.012,309.523,877.965,34.9639,346.089,862.924
82,0,104.012,309.526,877.945,34.9487,346.095,862.885
83,0,104.004,309.571,877.944,34.9514,346.104,862.873
84,0,103.995,309.561,877.916,34.9365,346.155,862.875
85,0,103.972,309.594,877.921,34.9186,346.127,862.817
86,0,103.973,309.577,877.906,34.9185,346.169,862.842
87,0,103.979,309.596,877.924,34.9094,346.195,862.852
88,0,103.965,309.594,877.923,34.914,346.19,862.852
89,0,103.984,309.609,877.953,34.8936,346.142,862.842
90,0,103.957,309.58,877.962,34.8941,346.116,862.843
91,0,103.969,309.586,877.953,34.8886,346.158,862.882
92,0,103.964,309.562,877.952,34.9137,346.117,862.877
93,0,103.988,309.546,877.943,34.9361,346.122,862.855
94,0,103.988,309.534,877.962,34.9428,346.092,862.851
95,0,103.981,309.533,877.949,34.9591,346.176,862.926
96,0,103.982,309.528,877.943,34.9468,346.099,862.882
97,0,103.991,309.527,877.956,34.9571,346.049,862.851
98,0,103.985,309.521,877.986,34.958,346.075,862.876
99,0,103.986,309.52,877.981,34.9489,346.087,862.894
100,0,103.975,309.539,878.02,34.9398,346.058,862.885
101,0,103.948,309.505,878.014,34.925,346.071,862.892
102,0,103.94,309.523,878.034,34.9143,346.074,862.898
103,0,103.939,309.531,878.039,34.9131,346.108,862.899
104,0,103.931,309.519,878.021,34.9165,346.117,862.883
105,0,103.927,309.543,878.032,34.8972,346.118,862.863
106,0,103.942,309.544,878.022,34.9114,346.103,862.855
107,0,103.941,309.552,878.033,34.9158,346.14,862.872
108,0,103.943,309.567,878.032,34.8996,346.147,862.868
109,0,103.927,309.578,878.033,34.9054,346.19,862.885
110,0,103.92,309.607,878.018,34.9016,346.19,862.843
111,0,103.917,309.613,878.002,34.8806,346.205,862.829
112,0,103.906,309.612,877.982,34.8696,346.243,862.819
113,0,103.92,309.666,877.996,34.8775,346.265,862.807
114,0,103.934,309.69,877.978,34.8889,346.297,862.796
115,0,103.947,309.709,877.969,34.8922,346.257,862.746
116,0,103.927,309.704,877.959,34.9032,346.263,862.748
117,0,103.944,309.686,877.977,34.9128,346.277,862.779
118,0,103.94,309.692,877.964,34.9131,346.231,862.751
119,0,103.938,309.702,878.003,34.9067,346.228,862.771
120,0,103.928,309.682,877.956,34.9136,346.231,862.768
121,0,103.926,309.693,877.976,34.9015,346.233,862.766
122,0,103.941,309.709,877.984,34.8922,346.245,862.762
123,0,103.95,309.746,877.98,34.9255,346.265,862.772
124,0,103.971,309.77,877.965,34.9088,346.266,862.753
125,0,103.96,309.793,877.95,34.9145,346.271,862.747
126,0,103.976,309.847,877.948,34.9222,346.239,862.682
127,0,103.969,309.847,877.93,34.9156,346.299,862.703
128,0,103.977,309.878,877.931,34.9407,346.296,862.682
129,0,103.978,309.907,877.94,34.9266,346.308,862.691
130,0,103.99,309.916,877.936,34.9162,346.321,862.691
131,0,103.975,309.941,877.936,34.9411,346.323,862.689
132,0,104.002,309.903,877.945,34.9503,346.305,862.665
133,0,104.011,309.905,877.934,34.9483,346.292,862.664
134,0,104.014,309.902,877.943,34.962,346.29,862.642
135,0,104.035,309.909,877.934,34.9892,346.281,862.645
136,0,104.03,309.875,877.932,34.9849,346.268,862.642
137,0,104.052,309.889,877.957,34.9907,346.245,862.612
138,0,104.022,309.874,877.932,35.0129,346.246,862.644
139,0,104.04,309.868,877.954,35.0042,346.228,862.657
140,0,104.046,309.853,877.959,35.0128,346.165,862.624
141,0,104.058,309.875,877.982,35.0068,346.193,862.661
142,0,104.056,309.858,877.976,35.0193,346.223,862.68
143,0,104.042,309.886,878.002,35.026,346.159,862.617
144,0,104.056,309.879,877.963,35.0298,346.174,862.626
145,0,104.053,309.862,877.974,35.0245,346.222,862.652
146,0,104.059,309.869,877.98,35.0193,346.195,862.632
147,0,104.034,309.841,877.983,35.0368,346.146,862.613
148,0,104.046,309.867,878.006,35.0153,346.184,862.644
149,0,104.048,309.844,878.01,35.0118,346.158,862.644
150,0,104.021,309.807,878.032,35.0035,346.149,862.642
151,0,104.016,309.815,878.036,34.9947,346.173,862.659
152,0,104.014,309.806,878.016,34.9829,346.161,862.646
153,0,103.994,309.752,877.983,34.989,346.203,862.68
154,0,103.993,309.794,878.001,35.0085,346.187,862.637
155,0,103.984,309.777,877.978,34.982,346.236,862.661
156,0,103.982,309.775,877.969,34.9818,346.289,862.657
157,0,103.978,309.786,877.962,35,346.257,862.618
158,0,103.994,309.791,877.984,34.9933,346.237,862.601
159,0,103.992,309.818,877.984,34.9999,346.235,862.601
160,0,103.998,309.787,877.969,35.0121,346.258,862.621
161,0,104.011,309.782,877.982,35.0177,346.275,862.663
162,0,103.988,309.726,877.958,35.0184,346.246,862.638
163,0,104,309.77,877.989,35.0256,346.269,862.675
164,0,104.01,309.789,877.996,35.0115,346.218,862.628
165,0,103.985,309.787,878.012,35.01,346.273,862.661
166,0,103.98,309.749,877.967,34.9999,346.243,862.618
167,0,103.976,309.776,877.986,34.9972,346.24,862.61
168,0,103.979,309.78,877.991,34.9856,346.277,862.633
169,0,103.977,309.793,877.962,34.9765,346.293,862.627
170,0,103.953,309.78,877.965,34.974,346.298,862.601
171,0,103.947,309.81,877.969,34.9574,346.324,862.606
172,0,103.933,309.836,877.98,34.9587,346.37,862.628
173,0,103.951,309.85,877.982,34.9615,346.354,862.594
174,0,103.942,309.823,877.952,34.9649,346.303,862.567
175,0,103.951,309.787,877.945,34.9814,346.328,862.598
176,0,103.973,309.787,877.963,35.009,346.283,862.586
177,0,103.99,309.754,877.962,35.0122,346.275,862.597
178,0,103.993,309.754,877.968,35.0297,346.227,862.596
179,0,104.027,309.69,877.963,35.0495,346.196,862.597
180,0,104,309.675,877.969,35.0422,346.172,862.591
181,0,104.012,309.672,878.015,35.0635,346.173,862.602
182,0,104.004,309.64,878.004,35.0527,346.139,862.601
183,0,103.982,309.616,878,35.0483,346.154,862.639
184,0,103.985,309.633,878.038,35.0327,346.133,862.634
185,0,103.985,309.624,878.031,35.0438,346.135,862.66
186,0,103.962,309.555,878.014,35.0234,346.162,862.681
187,0,103.958,309.602,878.032,35.0212,346.132,862.653
188,0,103.953,309.627,878.057,35.0066,346.175,862.664
189,0,103.949,309.618,878.054,34.995,346.176,862.662
190,0,103.94,309.63,878.046,35.0046,346.24,862.696
191,0,103.932,309.605,878.018,34.9993,346.253,862.701
192,0,103.943,309.638,878.024,35.0155,346.168,862.61
193,0,103.972,309.693,878.063,35.0142,346.192,862.637
194,0,103.971,309.662,878.02,35.0302,346.168,862.624
195,0,103.992,309.673,878.055,35.0387,346.14,862.582
196,0,103.962,309.643,878.017,35.039,346.132,862.576
197,0,103.961,309.651,878.027,35.0315,346.203,862.624
198,0,103.942,309.648,878.018,35.0355,346.207,862.62
199,0,103.931,309.646,878.006,35.0269,346.217,862.611
200,0,103.94,309.649,878.016,35.0161,346.231,862.619
201,0,103.942,309.674,878.024,35.006,346.2,862.587
202,0,103.972,309.676,878.013,35.0254,346.224,862.619
203,0,103.94,309.662,877.995,35.035,346.236,862.623
204,0,103.948,309.637,878.009,35.0311,346.254,862.639
205,0,103.957,309.666,878.025,35.0309,346.222,862.613
206,0,103.961,309.656,878,35.0351,346.199,862.601
207,0,103.955,309.633,878.005,35.0457,346.218,862.61
208,0,103.957,309.646,878.008,35.0352,346.198,862.613
209,0,103.976,309.611,877.99,35.0433,346.217,862.631
210,0,103.958,309.608,877.991,35.0427,346.215,862.622
211,0,103.964,309.614,878.001,35.0466,346.183,862.625
212,0,103.966,309.633,878.001,35.046,346.182,862.605
213,0,103.98,309.639,877.989,35.0441,346.226,862.613
214,0,103.977,309.647,877.971,35.0465,346.225,862.591
215,0,103.97,309.627,877.954,35.0627,346.212,862.562
216,0,103.96,309.643,877.946,35.0579,346.216,862.545
217,0,103.975,309.642,877.943,35.0713,346.24,862.557
218,0,103.98,309.61,877.943,35.0644,346.245,862.569
219,0,103.966,309.615,877.939,35.0687,346.244,862.558
