Trajectories
100
,,1:11,,,1:12,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm
1,0,86.7054,443.954,864.317,37.9738,500.771,881.923
2,0,86.5107,443.855,864.319,37.7096,500.631,881.845
3,0,86.3404,443.739,864.33,37.425,500.476,881.778
4,0,86.1528,443.625,864.333,37.1411,500.306,881.711
5,0,85.9111,443.491,864.33,36.8471,500.18,881.637
6,0,85.6726,443.384,864.311,36.5309,500.081,881.553
7,0,85.4211,443.263,864.302,36.3796,500.496,881.83
8,0,85.1556,443.162,864.305,36.0454,500.387,881.689
9,0,84.9036,443.019,864.268,35.7299,500.311,881.552
10,0,84.6452,442.855,864.321,35.4428,500.29,881.476
11,0,84.3535,442.792,864.335,35.1128,500.146,881.292
12,0,84.1021,442.692,864.35,34.777,500.009,881.105
13,0,83.8732,442.634,864.362,34.4762,499.974,881.003
14,0,83.6459,442.56,864.346,34.0117,499.411,880.501
15,0,83.4344,442.483,864.328,33.7355,499.352,880.354
16,0,83.2323,442.403,864.353,33.5345,499.348,880.248
17,0,83.0575,442.358,864.399,33.3408,499.36,880.141
18,0,82.8437,442.487,864.122,33.1848,499.334,879.995
19,0,82.7299,442.441,864.134,33.0725,499.393,879.914
20,0,82.7651,442.286,864.35,33.0189,499.415,879.774
21,0,82.7273,442.319,864.345,33.0215,499.566,879.712
22,0,82.7178,442.32,864.346,33.0504,499.702,879.607
23,0,82.6898,442.326,864.33,33.091,499.803,879.48
24,0,82.6865,442.368,864.357,33.394,500.653,879.907
25,0,82.6938,442.362,864.338,33.3817,500.344,879.428
26,0,82.6912,442.36,864.363,33.5407,500.547,879.401
27,0,82.7118,442.372,864.388,33.6999,500.71,879.358
28,0,82.73,442.358,864.392,34.0135,501.313,879.67
29,0,82.7536,442.332,864.381,34.0648,500.971,879.277
30,0,82.7767,442.291,864.374,34.4395,501.582,879.745
31,0,82.8014,442.232,864.378,34.6746,501.693,879.805
32,0,82.8605,442.232,864.401,35.0524,501.645,879.798
33,0,82.9652,442.165,864.39,35.1989,501.956,879.752
34,0,83.0171,442.222,864.365,35.3302,502.194,879.501
35,0,83.0114,442.268,864.385,35.35,502.349,879.314
36,0,83.0161,442.272,864.384,35.2736,502.345,879.228
37,0,82.9886,442.253,864.412,35.2398,502.338,879.195
38,0,82.9608,442.194,864.437,35.2065,502.38,879.078
39,0,82.9598,442.186,864.46,35.1512,502.449,878.888
40,0,82.9863,442.139,864.448,35.0652,502.576,878.654
41,0,83.0499,442.17,864.457,34.7411,502.149,878.033
42,0,83.056,442.163,864.443,34.6264,502.207,877.768
43,0,83.079,442.168,864.477,34.4654,502.216,877.523
44,0,83.0978,442.176,864.467,34.3205,502.206,877.375
45,0,83.1127,442.168,864.455,34.2336,502.167,877.237
46,0,83.0956,442.17,864.486,34.1943,502.17,877.148
47,0,83.1173,442.179,864.501,34.1451,502.2,877.075
48,0,83.1517,442.197,864.514,34.1067,502.17,876.98
49,0,83.2196,442.211,864.533,34.0688,502.163,876.871
